P_trans,C_Case01,e_conf,case_01_contact_mode,population_contact_mode,model_variant,likelihood_exact,likelihood_minimum,acceptance_rate_exact,mean_onward_infections,source_dir,source_file
0.0069678185816925,51.1710852512652,0.7631430399446245,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,6.197859858850463e-20,6.467176526693405e-20,0.02584,5.37072,calibration_daily,00026_MV_daily_contacts_parameter_results.csv
0.005271820335546,80.18599748376586,0.3833241279306517,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,7.643362190132715e-20,8.003366378440806e-20,0.02912,5.65332,calibration_daily,00026_MV_daily_contacts_parameter_results.csv
0.0144361769964375,79.62551523187466,0.1799183778512533,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,4.141367050227475e-20,4.497851760578096e-20,0.01896,23.92124,calibration_daily,00027_MV_daily_contacts_parameter_results.csv
0.0513344743213976,39.588447355166615,0.0603741623611919,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,0.0,2.1931037549132634e-27,0.0,94.68116,calibration_daily,00027_MV_daily_contacts_parameter_results.csv
0.037919596962102,84.94485796969848,0.6320192156251668,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,0.0,0.0,0.0,87.31024,calibration_daily,00028_MV_daily_contacts_parameter_results.csv
0.0150953438558273,71.59636688786148,0.1381877957525624,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,3.505858195387737e-20,3.785342414085681e-20,0.01932,23.42096,calibration_daily,00028_MV_daily_contacts_parameter_results.csv
0.0223644523387593,112.59323430809732,0.2524526704444394,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,0.0,2.559339893213794e-28,0.0,59.52176,calibration_daily,00029_MV_daily_contacts_parameter_results.csv
0.0121467630604272,58.28033413718978,0.6328204213830513,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,1.4986087470584432e-19,1.6071577074552254e-19,0.06968,13.01284,calibration_daily,00029_MV_daily_contacts_parameter_results.csv
0.0026916995699147,21.13351307728988,0.3045032516094125,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,0.0,0.0,0.0,0.81364,calibration_daily,00030_MV_daily_contacts_parameter_results.csv
0.0316772155778726,105.12971854374248,0.9173873975910696,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,0.0,3.0090458646247536e-39,0.0,73.84608,calibration_daily,00030_MV_daily_contacts_parameter_results.csv
0.0265155189009029,53.39431995478334,0.8184156338753458,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,5.0435698944595016e-21,5.5242475207089875e-21,0.0024,36.20284,calibration_daily,00031_MV_daily_contacts_parameter_results.csv
0.0191294031231555,17.54258199493266,0.875651808986432,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,3.6550536511764617e-20,3.986933173116469e-20,0.0586,8.96116,calibration_daily,00031_MV_daily_contacts_parameter_results.csv
0.0174360156752044,23.93533585335992,0.6861747800141583,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,4.2310766268407135e-20,4.675227650215322e-20,0.06208,10.47388,calibration_daily,00032_MV_daily_contacts_parameter_results.csv
0.0398565934516928,3.172132035935729,0.0556763979378108,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,2.933756117719283e-23,4.185377158143362e-23,0.03652,10.95496,calibration_daily,00032_MV_daily_contacts_parameter_results.csv
0.0158035108670294,88.6744236157701,0.850043122896756,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,2.6817237261815462e-20,2.880780169784233e-20,0.00964,26.10844,calibration_daily,00033_MV_daily_contacts_parameter_results.csv
0.0186485111505296,26.823507096430298,0.4441131750468475,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,3.42797102528671e-20,3.8320642595696e-20,0.05924,13.37328,calibration_daily,00033_MV_daily_contacts_parameter_results.csv
0.0025714545159179,81.41572462700658,0.5263265908705802,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,8.559530400242103e-22,8.795661055510666e-22,0.00052,2.29552,calibration_daily,00034_MV_daily_contacts_parameter_results.csv
0.0232547668672082,10.51431696735952,0.0062794818506867,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,3.871454987686264e-21,4.111297437192409e-21,0.04972,10.59132,calibration_daily,00034_MV_daily_contacts_parameter_results.csv
0.0143833743030404,90.3978728475784,0.8207097081264374,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,4.0825690334075225e-20,4.416208858997911e-20,0.01484,23.227,calibration_daily,00035_MV_daily_contacts_parameter_results.csv
0.0270004902824657,84.11937283864489,0.1023074745314357,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,0.0,1.2764524836562308e-26,0.0,63.42536,calibration_daily,00035_MV_daily_contacts_parameter_results.csv
0.0187827094974655,93.44123589123346,0.7018062907531621,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,2.182411325030233e-21,2.4259303003657678e-21,0.00092,36.24256,calibration_daily,00036_MV_daily_contacts_parameter_results.csv
0.0115830269055373,48.69430803631622,0.9922631056775308,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,2.1017153909671661e-19,2.2104537204102397e-19,0.0712,9.8744,calibration_daily,00036_MV_daily_contacts_parameter_results.csv
0.0129145504874819,44.610382344096735,0.5200567023494553,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,9.998193958351082e-20,1.0838950860470004e-19,0.07152,11.682,calibration_daily,00037_MV_daily_contacts_parameter_results.csv
0.0614461573901381,38.6619480303919,0.4234707115741171,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,0.0,0.0,0.0,104.77476,calibration_daily,00037_MV_daily_contacts_parameter_results.csv
0.030236827406998,103.53840380004276,0.9655071066057972,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,0.0,2.7952835664437242e-45,0.0,68.9896,calibration_daily,00038_MV_daily_contacts_parameter_results.csv
