P_trans,C_Case01,e_conf,case_01_contact_mode,population_contact_mode,contact_meanlog,contact_median,likelihood_exact,likelihood_minimum,acceptance_rate_exact,mean_onward_infections,source_dir,source_file
0.0029184965540527,35.53922802071108,0.1299981826758616,variable,lognormal,2.890372,18.000004357869567,2.177910636199247e-21,2.2747014897815707e-21,0.00808,2.6612,calibration_sensitivity_18,00025_MV_parameter_results_meanlog_2.890372.csv
0.0009327233121303,18.770150653768965,0.5604475188588804,variable,lognormal,2.890372,18.000004357869567,0.0,0.0,0.0,0.31388,calibration_sensitivity_18,00026_MV_parameter_results_meanlog_2.890372.csv
0.01671707883338,58.83232839308535,0.842036390023479,variable,lognormal,2.890372,18.000004357869567,3.0807271635975146e-21,3.2351947192452445e-21,0.00116,48.81752,calibration_sensitivity_18,00026_MV_parameter_results_meanlog_2.890372.csv
0.0078811710482126,22.018088712697256,0.1000604410250775,variable,lognormal,2.890372,18.000004357869567,1.7025879621193693e-21,1.91421955509422e-21,0.035,9.59184,calibration_sensitivity_18,00027_MV_parameter_results_meanlog_2.890372.csv
0.0106728401689113,85.46464025820006,0.7922784290265863,variable,lognormal,2.890372,18.000004357869567,5.0224762701587764e-21,5.591132784720811e-21,0.00228,37.85456,calibration_sensitivity_18,00027_MV_parameter_results_meanlog_2.890372.csv
0.0669723868615965,115.55778232061044,0.6807042694473231,variable,lognormal,2.890372,18.000004357869567,0.0,0.0,0.0,169.60132,calibration_sensitivity_18,00028_MV_parameter_results_meanlog_2.890372.csv
0.0053821403257366,34.20372994207645,0.5894212142199718,variable,lognormal,2.890372,18.000004357869567,1.3512555737974383e-20,1.4542420053884965e-20,0.03428,6.17144,calibration_sensitivity_18,00028_MV_parameter_results_meanlog_2.890372.csv
0.0202259964984727,21.53078549850724,0.8384102773661997,variable,lognormal,2.890372,18.000004357869567,3.868288360742944e-21,4.277360914818123e-21,0.0162,31.58984,calibration_sensitivity_18,00029_MV_parameter_results_meanlog_2.890372.csv
0.0192180248927275,96.01803586661264,0.7340414402055813,variable,lognormal,2.890372,18.000004357869567,0.0,0.0,0.0,85.15952,calibration_sensitivity_18,00029_MV_parameter_results_meanlog_2.890372.csv
0.0173813945374908,104.18152535788502,0.3332385775378383,variable,lognormal,2.890372,18.000004357869567,0.0,0.0,0.0,90.7728,calibration_sensitivity_18,00030_MV_parameter_results_meanlog_2.890372.csv
0.001094012089273,116.4344565363284,0.3476454254984475,variable,lognormal,2.890372,18.000004357869567,2.058675529791556e-21,2.147586743518589e-21,0.00136,2.7932,calibration_sensitivity_18,00030_MV_parameter_results_meanlog_2.890372.csv
0.0266227413284767,113.49227491992126,0.4582032696550968,variable,lognormal,2.890372,18.000004357869567,0.0,0.0,0.0,126.99388,calibration_sensitivity_18,00031_MV_parameter_results_meanlog_2.890372.csv
0.0147047837249442,91.71310020285486,0.820821702405024,variable,lognormal,2.890372,18.000004357869567,2.2037964649550127e-28,2.2678676503790758e-28,4e-05,59.20492,calibration_sensitivity_18,00031_MV_parameter_results_meanlog_2.890372.csv
0.0168306029719444,65.44623130984381,0.2563920004852483,variable,lognormal,2.890372,18.000004357869567,2.0970348009467704e-22,2.232393518347966e-22,0.00016,67.54092,calibration_sensitivity_18,00032_MV_parameter_results_meanlog_2.890372.csv
0.0105152732138444,105.54029353092967,0.4144240466538776,variable,lognormal,2.890372,18.000004357869567,4.557684005995251e-25,1.6158349968470245e-22,4e-05,51.21564,calibration_sensitivity_18,00032_MV_parameter_results_meanlog_2.890372.csv
0.0191443691694098,83.42803109511233,0.4366085293535174,variable,lognormal,2.890372,18.000004357869567,0.0,2.321488797613783e-37,0.0,85.04668,calibration_sensitivity_18,00033_MV_parameter_results_meanlog_2.890372.csv
0.0257181387120648,94.08598477458624,0.1297319866528438,variable,lognormal,2.890372,18.000004357869567,0.0,0.0,0.0,121.73948,calibration_sensitivity_18,00033_MV_parameter_results_meanlog_2.890372.csv
0.0253159559999781,85.27086623815366,0.6859591066083849,variable,lognormal,2.890372,18.000004357869567,0.0,0.0,0.0,102.84244,calibration_sensitivity_18,00034_MV_parameter_results_meanlog_2.890372.csv
0.0113502484717524,115.68317116053134,0.049951310961648,variable,lognormal,2.890372,18.000004357869567,0.0,2.1479039147835046e-28,0.0,67.54688,calibration_sensitivity_18,00034_MV_parameter_results_meanlog_2.890372.csv
